Model,MAE,RMSE,R2,MAPE (%)
Gradient Boosting,3372.537847637214,5856.24780292305,0.9568475376788053,9.412683889529863
Stacking Regressor,4185.474394936527,6788.350672847134,0.9420177279258825,15.5024001614918
XGBoost,3747.5159960937513,6842.860083459069,0.9410828118872473,9.982219147448559
Voting Regressor,4071.339444738865,7307.2957605870115,0.9328138024318263,11.196803560388414
Random Forest,5175.738194377597,8392.64312291583,0.9113733765178951,16.264330997574213
Extra Trees,4835.21790569795,8881.488395136817,0.900748244556621,14.066167311161937
AdaBoost,7470.652000095065,10968.545134488455,0.8486213092561052,29.923491590314644
Hist Gradient Boosting,6878.786713462641,11268.209740022885,0.8402368791256968,21.469517959821342
